SL term	TL term	SL	TL	area	english definition	TL definition	source	Usage example	notes	user
Abreviation	Abreviación	English	Spanish			Acortamiento.	"Hualde, J. I., Olarrea, A., Escobar, A. M., & Travis, C. E. (2009). Introducción a la lingüística hispánica. Cambridge University Press."			jvcasill
Orthographic accent	Acento ortográfico	English	Spanish	General		"Signo diacrítico que se coloca sobre algunas vocales. En español, esta marca va siempre sobre una vocal con acento prosódico. En la ortografóa del español se utiliza sólo un tipo de acento ortográfico, el llamado acento agudo é. En otras lenguas romónicas se utilizan también otros dos acentos ortogróficos, el grave, è, y el circunflejo, ê."	"Hualde, J. I., Olarrea, A., Escobar, A. M., & Travis, C. E. (2009). Introducción a la lingüística hispánica. Cambridge University Press."			jvcasill
Prosodic accent	Acento prosódico	English	Spanish	General		Mayor prominencia que se da a una sílaba sobre las demás de la palabra.	"Hualde, J. I., Olarrea, A., Escobar, A. M., & Travis, C. E. (2009). Introducción a la lingüística hispánica. Cambridge University Press."			jvcasill
	Acrolecto	English	Spanish			Véase variedad educada oral.	"Hualde, J. I., Olarrea, A., Escobar, A. M., & Travis, C. E. (2009). Introducción a la lingüística hispánica. Cambridge University Press."			jvcasill
Linguistic attitude	Actitud lingüística	English	Spanish			Las opiniones subjetivas de una persona hacia una lengua y sus hablantes.	"Hualde, J. I., Olarrea, A., Escobar, A. M., & Travis, C. E. (2009). Introducción a la lingüística hispánica. Cambridge University Press."			jvcasill
Speech act	Acto de habla	English	Spanish			"Acto que se realiza mediante el uso de la lengua (ej. una petición, una promesa, una amenaza, etc.)."	"Hualde, J. I., Olarrea, A., Escobar, A. M., & Travis, C. E. (2009). Introducción a la lingüística hispánica. Cambridge University Press."			jvcasill
Performance	Actuación	English	Spanish			Término lingüístico introducido por Chomsky y que describe el uso concreto que el hablante hace de su conocimiento tócito de su propia lengua. Se opone al término competencia.	"Hualde, J. I., Olarrea, A., Escobar, A. M., & Travis, C. E. (2009). Introducción a la lingüística hispánica. Cambridge University Press."			jvcasill
Accusative	Acusativo	English	Spanish			"Caso del objeto directo. En español sólo los pronombres clíticos de tercera persona tienen una forma especial morfológicamente marcada para este caso (la(s), lo(s)). Otros pronombres clíticos tienen la misma forma para el objeto directo y el indirecto (me, te, le(s), nos, os)."	"Hualde, J. I., Olarrea, A., Escobar, A. M., & Travis, C. E. (2009). Introducción a la lingüística hispánica. Cambridge University Press."			jvcasill
	"Adjetiva, oración"	English	Spanish			"Véase relativo, oración de."	"Hualde, J. I., Olarrea, A., Escobar, A. M., & Travis, C. E. (2009). Introducción a la lingüística hispánica. Cambridge University Press."			jvcasill
Adjective	Adjetivo	English	Spanish			"Categoría léxica que cuantifica o califica al sustantivo. En español, usando como criterio su distribución, podemos decir que el adjetivo es la parte de la oración que puede aparecer después de 'muy' y que a la vez puede variar en género o número. 'rojo' es un adjetivo porque en español podemos decir 'muy rojo', 'muy roja', 'muy rojos': Atendiendo a su flexión, en español tenemos dos clases de adjetivos, los que tienen formas diferentes para el masculino y el femenino (como 'rojo'), y los que tienen una única forma para ambos géneros (como difícil, valiente)."	"Hualde, J. I., Olarrea, A., Escobar, A. M., & Travis, C. E. (2009). Introducción a la lingüística hispánica. Cambridge University Press."			jvcasill
